"Département","Bassin de formation","Rne","Secteur","Nom","Voie","Lieu-dit","Boite postale","Code postal","Commune","Téléphone","Fax","Adresse électronique","Site internet","Responsable"
"Ardèche","ARDECHE MERIDIONALE","0071245R","Public","COLLEGE DE JASTRES","12 boulevard DE LA CORNICHE ",,,7200,"AUBENAS",475355533,475930053,"ce.0071245R@ac-grenoble.fr","http://www.ac-grenoble.fr/college/jastres.aubenas","LE PRINCIPAL : MME LAMAIRE NADIA
LE GESTIONNAIRE : MME MARTINEZ NATHALIE
L AGENT COMPTABLE : MME DUCLOCHER CORINNE"
"Ardèche","ARDECHE MERIDIONALE","0071169H","Public","COLLEGE ROQUA","Quartier Roqua ",,"BP60200",7204,"AUBENAS",475935232,475930100,"ce.0071169H@ac-grenoble.fr","http://www.ac-grenoble.fr/college/roqua.aubenas","LE PRINCIPAL : M. SOUCHON SYLVAIN
LE PRINCIPAL ADJOINT : MME GODEFROY FRANCOISE
LE GESTIONNAIRE : MME ZAOUANE CELINE
L AGENT COMPTABLE : MME DUCLOCHER CORINNE"
"Ardèche","ARDECHE MERIDIONALE","0070062E","Privé sous-contrat","COLLEGE PRIVE ST FRANCOIS D'ASSISE","2 boulevard DE LA CORNICHE ",,"CS50083",7203,"AUBENAS",475356980,,"Ce.0070062E@ac-grenoble.fr","http://www.st-francois-dassisse.eu/","LE DIRECTEUR : M. GARCIA OLIVIER
LE DIRECTEUR ADJOINT : M. CAPRIOGLIO THOMAS"
"Ardèche","ARDECHE MERIDIONALE","0071125K","Public","LEGT PROFESSIONNEL AGRICOLE D'AUBENAS","76 chemin ripotier haut ",,"BP150",7205,"AUBENAS",475351755,475934619,"epl.aubenas@educagri.fr",,"LE PROVISEUR : M. GOLBERG FRÉDÉRIC
LE PROVISEUR ADJOINT : M. BRILLANCEAU GUILLAUME
LE GESTIONNAIRE : M. GOUY GUILLAUME
L AGENT COMPTABLE : M. MARTIN THIERRY"
"﻿Ardèche","ARDECHE MERIDIONALE","0070004S","Public","LYCEE POLYVALENT ASTIER","Quartier Roqua ",,"BP60145",7205,"AUBENAS",475350977,475355971,"ce.0070004S@ac-grenoble.fr","https://astier.ent.auvergnerhonealpes.fr","LE PROVISEUR : M. THABUY GILLES
LE PROVISEUR ADJOINT : M. BENOIT VINCENT
LE GESTIONNAIRE : MME DUCLOCHER CORINNE
L AGENT COMPTABLE : MME DUCLOCHER CORINNE"
"Ardèche","ARDECHE MERIDIONALE","0070003R","Public","LYCEE POLYVALENT MARCEL GIMOND","Boulevard de l'Europe ",,"BP20144",7205,"AUBENAS",475354088,475355223,"ce.0070003R@ac-grenoble.fr","https://lyceegimond.net/","LE PROVISEUR : M. KRIAT MOSTAFA
LE PROVISEUR ADJOINT : M. CAPOT ALEX
LE GESTIONNAIRE : MME GILLET CAMILLE
L AGENT COMPTABLE : MME DUCLOCHER CORINNE"
"Ardèche","ARDECHE MERIDIONALE","0070064G","Privé sous-contrat","LYCEE POLYVALENT PRIVE JULES FROMENT","3 rue ALBERT SEIBEL ",,"CS50040",7201,"AUBENAS",475938000,475352635,"Ce.0070064G@ac-grenoble.fr","http://www.lycee-julesfroment.fr","LE DIRECTEUR : M. BARTHELEMY RICHARD
LE DIRECTEUR ADJOINT : MME PONS CORINNE
L  ADJOINT AU CHEF D ETABLISSEMENT : MME UBEDA MAGALI"
"Ardèche","ARDECHE MERIDIONALE","0070922P","Public","SEGPA CLG ROQUA","Quartier ROQUA ",,"BP60200",7204,"AUBENAS",475935232,475930100,"ce.0070922P@ac-grenoble.fr","http://www.ac-grenoble.fr/college/roqua.aubenas","LE PRINCIPAL : M. SOUCHON SYLVAIN
LE GESTIONNAIRE : MME ZAOUANE CELINE
L AGENT COMPTABLE : MME DUCLOCHER CORINNE"
"Ardèche","ARDECHE MERIDIONALE","0070006U","Public","COLLEGE LE LAOUL","29 avenue Du Marechal Leclerc ",,"BP10",7700,"BOURG-SAINT-ANDEOL",475548530,475546640,"ce.0070006U@ac-grenoble.fr","https://college-le-laoul-bsa.web.ac-grenoble.fr/","LE PRINCIPAL : MME PARVY FLORENCE
LE PRINCIPAL ADJOINT : MME CAUCHOIS DEBORAH
LE GESTIONNAIRE : MME MENARD FRANCOISE
L AGENT COMPTABLE : M. CARIAS JEAN-MARC"
"Ardèche","ARDECHE MERIDIONALE","0070860X","Privé sous-contrat","COLLEGE PRIVE MARIE RIVIER","21 avenue NOTRE DAME ",,"BP31",7700,"BOURG-SAINT-ANDEOL",475545250,475544782,"ce.0070860X@ac-grenoble.fr","http://www.marie-rivier.com","LE DIRECTEUR : M. AMBROSINI FREDERIC
LE DIRECTEUR ADJOINT : MME PATRON JENNIFER"
"Ardèche","ARDECHE MERIDIONALE","0070066J","Privé sous-contrat","LYCEE GENERAL ET TECHNOL PR MARIE RIVIER","21 avenue NOTRE DAME ",,"BP31",7700,"BOURG-SAINT-ANDEOL",475545250,475544782,"ce.0070066J@ac-grenoble.fr","http://www.marie-rivier.com","LE DIRECTEUR : M. AMBROSINI FREDERIC
LE DIRECTEUR ADJOINT : MME PINEAU STEPHANIE"
"﻿Ardèche","ARDECHE MERIDIONALE","0070107D","Privé sous-contrat","LYCEE PROFESSIONNEL PRIVE MARIE RIVIER","21 avenue NOTRE DAME ",,"BP31",7700,"BOURG-SAINT-ANDEOL",475545250,475545250,"ce.0070107D@ac-grenoble.fr","http://www.marie-rivier.com","LE DIRECTEUR : M. AMBROSINI FREDERIC
LE DIRECTEUR ADJOINT : M. LANFLE DAVID"
"Ardèche","ARDECHE MERIDIONALE","0071244P","Public","SEGPA CLG LE LAOUL","29 avenue MARECHAL LECLERC ",,"BP10",7700,"BOURG-SAINT-ANDEOL",475548530,475546640,"ce.0071244P@ac-grenoble.fr","https://college-le-laoul-bsa.web.ac-grenoble.fr/","LE PRINCIPAL : MME PARVY FLORENCE
LE PRINCIPAL ADJOINT : M. BEN RHOUMA SADRI
LE GESTIONNAIRE : MME MENARD FRANCOISE
L AGENT COMPTABLE : M. CARIAS JEAN-MARC"
"Ardèche","ARDECHE MERIDIONALE","0071474P","Privé hors-contrat","ECOLE SECONDAIRE PRIVEE LA FORET","14 place Paul Perbost ",,,7140,"CHAMBONAS",677649916,,"ce.0071474P@ac-grenoble.fr",,"LE DIRECTEUR : MME BOUET MATHILDE"
"Ardèche","DROME ARDECHE CENTRE","0070009X","Public","LYCEE PROFESSIONNEL LEON PAVIN","241  chemin DU TROUILLET ",,,7210,"CHOMERAC",475651044,475650661,"ce.0070009X@ac-grenoble.fr","https://leon-pavin.ent.auvergnerhonealpes.fr","LE PROVISEUR : M. GIMENO CHRISTOPHE
LE GESTIONNAIRE : M. LAPASSET NICOLAS
L AGENT COMPTABLE : M. GARCIA JEROME"
"Ardèche","ARDECHE MERIDIONALE","0070010Y","Public","COLLEGE ALBERT MERCOYROL","Rue Du verger ",,"BP41",7350,"CRUAS",475920494,475514587,"ce.0070010Y@ac-grenoble.fr","https://albert-mercoyrol.ent.auvergnerhonealpes.fr/","LE PRINCIPAL : MME CHANTRELLE ANNE
LE GESTIONNAIRE : MME ADELANTADO ISABELLE
L AGENT COMPTABLE : MME RIBOLLET SYLVIE"
"Ardèche","DROME ARDECHE CENTRE","0070011Z","Public","COLLEGE CHARLES DE GAULLE","210 rue André Malraux ",,,7500,"GUILHERAND-GRANGES",475446486,475407721,"ce.0070011Z@ac-grenoble.fr","https://guilherand-granges.ent.auvergnerhonealpes.fr/","LE PRINCIPAL : MME MERIAUDEAU SANDRA
LE PRINCIPAL ADJOINT : M. EYMARD NICOLAS
LE GESTIONNAIRE : MME BARNERON LAETITIA
L AGENT COMPTABLE : M. CHABAL VINCENT"
"Ardèche","ARDECHE MERIDIONALE","0070012A","Public","COLLEGE VALLEE DE LA BEAUME","110 allée Marcel Violet ",,,7260,"JOYEUSE",475394246,475399282,"ce.0070012A@ac-grenoble.fr","https://college-vallee-de-la-beaume-joyeuse.web.ac-grenoble.fr/","LE PRINCIPAL : M. DUMONT EMMANUEL
LE GESTIONNAIRE : MME LEGGER VIRGINIE
L AGENT COMPTABLE : MME CHIRPAZ MAUD"
"﻿Ardèche","DROME ARDECHE CENTRE","0070042H","Public","COLLEGE LES TROIS VALLEES","10 rue du Collège ",,,7800,"LA VOULTE-SUR-RHONE",475620188,475622623,"ce.0070042H@ac-grenoble.fr","https://college-les-trois-vallees-la-voulte-sur-rhone.web.ac-grenoble.fr","LE PRINCIPAL : M. HUAN THIERRY
LE PRINCIPAL ADJOINT : M. GUIRAMAND-JARRY CYRIL
LE GESTIONNAIRE : MME BROT CHRISTINE
L AGENT COMPTABLE : M. GARCIA JEROME"
"Ardèche","DROME ARDECHE CENTRE","0071198P","Public","SEGPA CLG LES TROIS VALLEES","10 rue du Collège ",,,7800,"LA VOULTE-SUR-RHONE",475620188,475622623,"ce.0071198P@ac-grenoble.fr","http://www.ac-grenoble.fr/college/3-vallees.la-voulte-sur-rhone/","LE PRINCIPAL : M. HUAN THIERRY
LE PRINCIPAL ADJOINT : M. GADENNE MIKAEL
LE GESTIONNAIRE : MME BROT CHRISTINE
L AGENT COMPTABLE : M. GARCIA JEROME"
"Ardèche","DROME ARDECHE CENTRE","0070872K","Public","COLLEGE DU VIVARAIS","9 avenue DE TOURNON ",,,7270,"LAMASTRE",475064249,475064813,"ce.0070872K@ac-grenoble.fr","https://vivarais.ent.auvergnerhonealpes.fr","LE PRINCIPAL : MME THOMAS VALERIE
LE GESTIONNAIRE : MME VIALATTE MARIE-CLAIRE
L AGENT COMPTABLE : M. BLANC GERARD"
"Ardèche","DROME ARDECHE CENTRE","0071168G","Privé sous-contrat","COLLEGE PRIVE CHARLES DE FOUCAULD","2 rue DE MACHEVILLE ",,,7270,"LAMASTRE",475064167,,"ce.0071168G@ac-grenoble.fr","http://www.chdf-lamastre.fr","LE DIRECTEUR : MME BILLOT LAMBERT ISABELLE"
"Ardèche","DROME ARDECHE CENTRE","0071464D","Privé hors-contrat","ECOLE 2D DEGRE PROF.PRIVEE CHARLES DE FOUCAULD","2 grand rue De macheville ",,,7270,"LAMASTRE",475064137,,"ce.0071464D@ac-grenoble.fr",,"LE DIRECTEUR : MME BILLOT ISABELLE"
"Ardèche","ARDECHE MERIDIONALE","0070017F","Public","COLLEGE LA SEGALIERE","161 voie d'Aubesson ",,,7110,"LARGENTIERE",475391364,475391483,"ce.0070017F@ac-grenoble.fr","https://hotelier-largentiere.ent.auvergnerhonealpes.fr/","LE PRINCIPAL : M. BERNASCONI CHRISTOPHE
LE PRINCIPAL ADJOINT : M. CAMBA JIMMY
LE GESTIONNAIRE : MME CHIRPAZ MAUD
L AGENT COMPTABLE : MME CHIRPAZ MAUD"
"Ardèche","ARDECHE MERIDIONALE","0070080Z","Privé sous-contrat","COLLEGE PRIVE LE PORTALET NOTRE DAME","3 place Mazon ",,,7110,"LARGENTIERE",475391360,,"Ce.0070080Z@ac-grenoble.fr",,"LE DIRECTEUR : M. BONO SEBASTIEN"
"﻿Ardèche","ARDECHE MERIDIONALE","0070016E","Public","LP LYCEE DES METIERS HOTELIER","161 voie d'Aubesson ",,,7110,"LARGENTIERE",475391364,475391483,"ce.0070016E@ac-grenoble.fr","https://hotelier-largentiere.ent.auvergnerhonealpes.fr/","LE PROVISEUR : M. BERNASCONI CHRISTOPHE
LE PROVISEUR ADJOINT : M. CAMBA JIMMY
LE GESTIONNAIRE : MME CHIRPAZ MAUD
L AGENT COMPTABLE : MME CHIRPAZ MAUD"
"Ardèche","DROME ARDECHE CENTRE","0070849K","Public","COLLEGE DES DEUX VALLEES","4 rue DES DEUX VALLEES ",,,7160,"LE CHEYLARD",475291366,475294297,"ce.0070849K@ac-grenoble.fr","https://cheylard.ent.auvergnerhonealpes.fr/","LE PRINCIPAL : MME GERARDIN SANDRINE
LE PRINCIPAL ADJOINT : MME FERRIER SANDRINE
LE GESTIONNAIRE : MME PIRAD STEPHANIE
L AGENT COMPTABLE : M. GARCIA JEROME"
"Ardèche","DROME ARDECHE CENTRE","0070861Y","Privé sous-contrat","COLLEGE PRIVE SAINT LOUIS LES MARISTES","20 avenue DE CHABANNES ",,"BP37",7160,"LE CHEYLARD",475290527,475294654,"ce.0070861Y@ac-grenoble.fr","http://www.maristes-st-louis.com","LE DIRECTEUR : M. CHEK ANTONY"
"Ardèche","DROME ARDECHE CENTRE","0071397F","Public","LYCEE POLYVALENT LE CHEYLARD","4 rue Des deux vallées ",,,7160,"LE CHEYLARD",475291366,475294297,"ce.0071397F@ac-grenoble.fr","https://cheylard.ent.auvergnerhonealpes.fr/","LE PROVISEUR : MME GERARDIN SANDRINE
LE PROVISEUR ADJOINT : MME FERRIER SANDRINE
LE GESTIONNAIRE : MME PIRAD STEPHANIE
L AGENT COMPTABLE : M. GARCIA JEROME"
"Ardèche","DROME ARDECHE CENTRE","0070019H","Public","COLLEGE ALEX MEZENC","180 rue ALEX MEZENC ",,,7250,"LE POUZIN",475850136,475850145,"ce.0070019H@ac-grenoble.fr","https://mezenc.ent.auvergnerhonealpes.fr/","LE PRINCIPAL : MME ARGAUD NATHALIE
LE GESTIONNAIRE : MME FARINA-PLANET ISABELLE
L AGENT COMPTABLE : M. GARCIA JEROME"
"Ardèche","ARDECHE MERIDIONALE","0070847H","Public","COLLEGE MARCEL CHAMONTIN","24 avenue Du 8 Mai 1945 ",,"BP2",7401,"LE TEIL",475495330,475495339,"ce.0070847H@ac-grenoble.fr","https://college-marcel-chamontin-le-teil.web.ac-grenoble.fr","LE PRINCIPAL : M. PARCOLLET HERVE
LE PRINCIPAL ADJOINT : MME MALHAIRE VALERIE
LE GESTIONNAIRE : MME LAFFONT VERONIQUE
L AGENT COMPTABLE : MME RIBOLLET SYLVIE"
"Ardèche","ARDECHE MERIDIONALE","0070864B","Privé sous-contrat","COLLEGE PRIVE GABRIEL LONGUEVILLE","20 boulevard Jean Jaurès ",,"BP4",7400,"LE TEIL",475490266,,"Ce.0070864B@ac-grenoble.fr","https://www.lapresentation-leteil.org/","LE DIRECTEUR : M. PEYRARD FRANCK
LE DIRECTEUR ADJOINT : MME FAURE PINAULT VIRGINIE"
"﻿Ardèche","ARDECHE MERIDIONALE","0071351F","Public","LYCEE POLYVALENT XAVIER MALLET","1 rue FREDERIC MISTRAL ",,,7400,"LE TEIL",475922200,475521295,"ce.0071351F@ac-grenoble.fr","https://lyc-xavier-mallet.ent.auvergnerhonealpes.fr","LE PROVISEUR : M. JUGLAIR FREDERIC
LE PROVISEUR ADJOINT : MME BLACHON CHRYSTELE
LE GESTIONNAIRE : MME TOMIETTO VANESSA
L AGENT COMPTABLE : MME DUCLOCHER CORINNE"
"Ardèche","ARDECHE MERIDIONALE","0070112J","Privé sous-contrat","LYCEE PROFESSIONNEL PRIVE SAINT ANDRE","18 rue EMILE COMBES ",,"BP20",7400,"LE TEIL",475490244,475515082,"Ce.0070112J@ac-grenoble.fr",,"LE DIRECTEUR : M. PEYRARD FRANCK
LE DIRECTEUR ADJOINT : M. PYOT CHRISTOPHE"
"Ardèche","ARDECHE MERIDIONALE","0070037C","Public","COLLEGE LEONCE VIELJEUX","37 route Du Roussillon ",,,7140,"LES VANS",475372436,475370428,"ce.0070037C@ac-grenoble.fr","https://leonce-vieljeux.ent.auvergnerhonealpes.fr/","LE PRINCIPAL : MME PAUL MARIE NOELLE
LE GESTIONNAIRE : MME FOUQUART MARIE-ASTRID
L AGENT COMPTABLE : MME CHIRPAZ MAUD"
"Ardèche","ARDECHE MERIDIONALE","0070018G","Public","COLLEGE JOSEPH DURAND","171 allée DE LA PRADE ","LA PRADE                ",,7560,"MONTPEZAT-SOUS-BAUZON",475944329,,"ce.0070018G@ac-grenoble.fr","https://college-joseph-durand-montpezat.web.ac-grenoble.fr","LE PRINCIPAL : M. KILOUCHI SAMY
LE GESTIONNAIRE : M. BERANGER JULIEN
L AGENT COMPTABLE : MME DUCLOCHER CORINNE"
"Ardèche","DROME ARDECHE CENTRE","0071246S","Public","COLLEGE BERNARD DE VENTADOUR","252 avenue PIERRE BOZON ",,"BP720",7000,"PRIVAS",475669380,475640535,"ce.0071246S@ac-grenoble.fr","http://www.ac-grenoble.fr/college/privas.ventadour","LE PRINCIPAL : M. VAN OUTRYVE DAVID
LE PRINCIPAL ADJOINT : M. CUVELIER VINCENT
LE GESTIONNAIRE : M. RUSSIER JEAN-MARC
L AGENT COMPTABLE : M. GARCIA JEROME"
"Ardèche","DROME ARDECHE CENTRE","0071281E","Privé sous-contrat","COLLEGE PRIVE SACRE COEUR","18 avenue DU VANEL ",,,7000,"PRIVAS",475647614,475647621,"ce.0071281E@ac-grenoble.fr","http://www.sacrecoeur-notredame.com","LE DIRECTEUR : M. LAFAYE DE MICHEAUX KENNETH"
"Ardèche","DROME ARDECHE CENTRE","0070069M","Privé sous-contrat","LYC GEN TECH PRIVE SACRE COEUR  NOTRE DAME","6 boulevard DE VERNON ",,,7000,"PRIVAS",475641276,475647622,"ce.0070069M@ac-grenoble.fr","http://www.sacrecoeur-notredame.com","LE DIRECTEUR : M. LAFAYE DE MICHEAUX KENNETH"
"﻿Ardèche","DROME ARDECHE CENTRE","0070021K","Public","LYCEE POLYVALENT VINCENT D'INDY","9 boulevard du Lycée ",,"BP628",7006,"PRIVAS",475663800,475648661,"ce.0070021K@ac-grenoble.fr","http://vincent-indy.ent.auvergnerhonealpes.fr","LE PROVISEUR : M. MONNEY LAURENT
LE PROVISEUR ADJOINT : MME MAZON FREDERIQUE
LE GESTIONNAIRE : M. GARCIA JEROME
L AGENT COMPTABLE : M. GARCIA JEROME"
"Ardèche","DROME ARDECHE CENTRE","0070114L","Privé sous-contrat","LYCEE PROF PRIVE DES METIERS NOTRE DAME","26 avenue DU VANEL ",,,7000,"PRIVAS",475647626,475658143,"ce.0070114L@ac-grenoble.fr","http://www.sacrecoeur-notredame.com","LE DIRECTEUR : M. LAFAYE DE MICHEAUX KENNETH"
"Ardèche","ARDECHE MERIDIONALE","0070863A","Privé sous-contrat","COLLEGE PRIVE SAINT JOSEPH","12 avenue DE VALLON ",,,7120,"RUOMS",475396260,,"ce.0070863A@ac-grenoble.fr","http://www.saintjoseph-ruoms.fr","LE DIRECTEUR : M. BONO SEBASTIEN
LE DIRECTEUR ADJOINT : MME BARDE VIRGINIE"
"Ardèche","ARDECHE VERTE","0070023M","Public","COLLEGE LOUIS JOUVET","Rue CLAUDE JACQUILLAT ",,"BP39",7320,"SAINT-AGREVE",475301532,475301036,"ce.0070023M@ac-grenoble.fr","https://college-louis-jouvet-st-agreve.web.ac-grenoble.fr","LE PRINCIPAL : MME BRUNEAU HELENE
LE GESTIONNAIRE : M. CLERICI ROLAND
L AGENT COMPTABLE : M. BLANC GERARD"
"Ardèche","ARDECHE MERIDIONALE","0070024N","Public","COLLEGE DE LA MONTAGNE ARDECHOISE","80 route De la cité scolaire ",,,7510,"SAINT-CIRGUES-EN-MONTAGNE",475389179,,"ce.0070024N@ac-grenoble.fr","https://montagne-ardechoise.ent.auvergnerhonealpes.fr","LE PRINCIPAL : MME PEDARD BARBARELLA
LE GESTIONNAIRE : MME ROZIERE DEBRAINE LAURENCE
L AGENT COMPTABLE : MME DUCLOCHER CORINNE"
"Ardèche","DROME ARDECHE CENTRE","0071320X","Public","COLLEGE DE CRUSSOL","15 rue Raoul Follereau ",,,7130,"SAINT-PERAY",475402490,475405186,"ce.0071320X@ac-grenoble.fr","https://crussol.ent.auvergnerhonealpes.fr/","LE PRINCIPAL : MME PEILLARD SOPHIE
LE PRINCIPAL ADJOINT : MME PRADIER EMILIE
LE GESTIONNAIRE : MME CAUCHOIS FABIENNE
L AGENT COMPTABLE : M. SELEK NICOLAS"
"Ardèche","DROME ARDECHE CENTRE","0071321Y","Public","SEGPA CLG DE CRUSSOL","RUE RAOUL FOLLEREAU ",,,7130,"SAINT-PERAY",475402490,475405186,"ce.0071321Y@ac-grenoble.fr",,"LE PRINCIPAL : MME PEILLARD SOPHIE
LE GESTIONNAIRE : MME CAUCHOIS FABIENNE
L AGENT COMPTABLE : M. SELEK NICOLAS"
"﻿Ardèche","DROME ARDECHE CENTRE","0070025P","Public","COLLEGE DE L'EYRIEUX","390 route de l'ancienne gare ",,,7190,"SAINT-SAUVEUR-DE-MONTAGUT",475654054,,"ce.0070025P@ac-grenoble.fr","https://eyrieux.ent.auvergnerhonealpes.fr/","LE PRINCIPAL : MME TESSIER FLORENCE
LE GESTIONNAIRE : MME ROCHE SOPHIE
L AGENT COMPTABLE : M. GARCIA JEROME"
"Ardèche","ARDECHE VERTE","0070086F","Privé sous-contrat","COLLEGE PRIVE SAINT JOSEPH EN VAL D'AY","185 chemin DU COUVENT ",,,7290,"SATILLIEU",475349642,,"Ce.0070086F@ac-grenoble.fr","https://sites.google.com/site/stjosephenvalday/home","LE DIRECTEUR : MME DUFAUT VIRGINIE
LE DIRECTEUR ADJOINT : MME CARCEL MARINA
L  ADJOINT AU CHEF D ETABLISSEMENT : MME DESGLENE AURORE"
"Ardèche","ARDECHE VERTE","0070848J","Public","COLLEGE MARIE CURIE","Place Carnot ",,"BP106",7301,"TOURNON-SUR-RHONE",475072080,475088949,"ce.0070848J@ac-grenoble.fr","https://college-marie-curie-tournon-sur-rhone.web.ac-grenoble.fr/","LE PRINCIPAL : M. VIDAUD MICHAEL
LE PRINCIPAL ADJOINT : M. BELLINGER CHRISTOPHE
LE GESTIONNAIRE : M. BLANC FABRICE
L AGENT COMPTABLE : M. BLANC GERARD
L  ADJOINT AU CHEF D ETABLISSEMENT : MME LEVACHER HECK ELLEN"
"Ardèche","ARDECHE VERTE","0070092M","Privé sous-contrat","COLLEGE PRIVE NOTRE DAME","4 rue LACHANAL ",,,7300,"TOURNON-SUR-RHONE",475080923,475088803,"ce.0070092M@ac-grenoble.fr","http://www.collegenotredame.tournon.com","LE DIRECTEUR : MME TELUOB PATRICIA"
"Ardèche","ARDECHE VERTE","0071192H","Privé sous-contrat","COLLEGE PRIVE SAINT LOUIS","9 avenue MARECHAL FOCH ",,,7300,"TOURNON-SUR-RHONE",475080886,,"ce.0071192H@ac-grenoble.fr","https://college-stlouis-tournon.fr/","LE DIRECTEUR : M. BADOL JEROME"
"Ardèche","ARDECHE VERTE","0071478U","Privé hors-contrat","ECOLE SECONDAIRE PRIVEE ECOLE EQUESTRE DU DOMAINE","74 grande rue ",,,7300,"TOURNON-SUR-RHONE",954203102,,"ce.0071478U@ac-grenoble.fr",,"LE DIRECTEUR : MME RUIZ MELANIE"
"Ardèche","ARDECHE VERTE","0070031W","Public","LP LYCEE DES METIERS MARIUS BOUVIER","69 route de Lamastre ",,"BP93",7301,"TOURNON-SUR-RHONE",475078650,475078651,"ce.0070031W@ac-grenoble.fr","https://marius-bouvier.ent.auvergnerhonealpes.fr","LE PROVISEUR : M. CHARREL NICOLAS
LE PROVISEUR ADJOINT : M. FRISCIA SERGE
LE GESTIONNAIRE : MME BLANCHARD EMMANUELLE
L AGENT COMPTABLE : M. BLANC GERARD"
