"Département","Circonscription","Rne","Secteur","Nom","Voie","Lieu-dit","Boite postale","Code postal","Commune","Téléphone","Fax","Adresse électronique","Site internet","Responsable","Collège de secteur","GPS latitude","GPS longitude","Nb classes","Effectif"
"Isère","LA TOUR DU PIN","0381551E","Public","ECOLE MATERNELLE PUBLIQUE","177 place communale ",,,38510,"ARANDON-PASSINS",474808355,,"ce.0381551E@ac-grenoble.fr",,"LE DIRECTEUR : MME GROS-FLANDRE SEVERINE","CLG FRANCOIS AUGUSTE RAVIER","45.711735531465","5.4334957467876",2,48
"Isère","LA TOUR DU PIN","0380838E","Public","ECOLE PRIMAIRE","20 place Léon Thomas ","LE BOURG                ",,38510,"ARANDON-PASSINS",474801882,,"ce.0380838E@ac-grenoble.fr",,"LE DIRECTEUR : MME MICHALLAT DELPHINE","CLG FRANCOIS AUGUSTE RAVIER","45.68650087604","5.4293265610779",4,93
"Isère","BOURGOIN JALLIEU 3","0381554H","Public","ECOLE ELEMENTAIRE PUBLIQUE PROSPER ROCHE","Place du 11 Novembre 1918 ",,,38440,"ARTAS",474586293,,"ce.0381554H@ac-grenoble.fr",,"LE DIRECTEUR : MME BIGA NATHALIE","CLG FERNAND BOUVIER","45.534730809286","5.1661635830788",5,115
"Isère","BOURGOIN JALLIEU 3","0382804S","Public","ECOLE MATERNELLE PUBLIQUE PROSPER ROCHE","Place du 11 Novembre 1918 ",,,38440,"ARTAS",474586301,,"ce.0382804S@ac-grenoble.fr",,"LE DIRECTEUR : MME GUELFF ANNE-LAURE","CLG DE PERANCHE","45.535396413059","5.1662152065255",3,68
"Isère","VIENNE 2","0382208U","Public","ECOLE PRIMAIRE PUBLIQUE","77 rue de la Varèze ",,,38150,"ASSIEU",474844859,474844859,"ce.0382208U@ac-grenoble.fr",,"LE DIRECTEUR : MME PACCALET-MAGAT GWENAELLE","CLG DE L'EDIT","45.407113631228","4.8678978622424",7,173
"Isère","SAINT MARCELLIN","0380149F","Public","ECOLE PRIMAIRE PUBLIQUE","730 route du Vercors ",,,38680,"AUBERIVES-EN-ROYANS",476360646,,"ce.0380149F@ac-grenoble.fr",,"LE DIRECTEUR : MME BRUN KARINE","CLG RAYMOND GUELEN","45.063282553569","5.300975606085",2,32
"﻿Isère","VIENNE 2","0382080E","Public","ECOLE PRIMAIRE PUBLIQUE","1 rue des Ecoles ",,,38550,"AUBERIVES-SUR-VAREZE",474849650,,"ce.0382080E@ac-grenoble.fr",,"LE DIRECTEUR : M. PONTON OLIVIER","CLG FREDERIC MISTRAL","45.42360488854","4.8169697000082",7,159
"Isère","GRENOBLE 4 / DSDEN38","0380152J","Public","ECOLE PRIMAIRE PUBLIQUE","Place de l'Eglise ",,,38142,"AURIS",476802621,,"ce.0380152J@ac-grenoble.fr",,"LE DIRECTEUR : M. OUGIER SEBASTIEN","CLG DES SIX VALLEES","45.046343127104","6.0868533193907",1,8
"Isère","FONTAINE-VERCORS","0380703H","Public","ECOLE ELEMENTAIRE PUBLIQUE AGNES RUGER-BUISSON","Place Locmaria ","MEAUDRE                 ",,38112,"AUTRANS-MEAUDRE EN VERCORS",476952298,476952625,"ce.0380703H@ac-grenoble.fr",,"LE DIRECTEUR : MME HYVES SYLVIE","CLG JEAN PREVOST","45.126974769839","5.527015233021",4,101
"Isère","FONTAINE-VERCORS","0382790B","Public","ECOLE ELEMENTAIRE PUBLIQUE MARC SERRATRICE","188 route de Gève ","AUTRANS                 ",,38880,"AUTRANS-MEAUDRE EN VERCORS",476953696,,"ce.0382790B@ac-grenoble.fr",,"LE DIRECTEUR : M. DESPERRIER CLAUDE","CLG JEAN PREVOST","45.176205786881","5.5425537949238",4,75
"Isère","FONTAINE-VERCORS","0382809X","Public","ECOLE MATERNELLE PUBLIQUE","Rue de l'Eglise ",,,38112,"AUTRANS-MEAUDRE EN VERCORS",476952632,,"ce.0382809X@ac-grenoble.fr",,"LE DIRECTEUR : MME DOUILLET CATHERINE","CLG JEAN PREVOST","45.12606158425","5.5259686150673",2,44
"Isère","FONTAINE-VERCORS","0382254U","Public","ECOLE MATERNELLE PUBLIQUE"," ","AUTRANS                 ",,38880,"AUTRANS-MEAUDRE EN VERCORS",476953201,,"ce.0382254U@ac-grenoble.fr",,"LE DIRECTEUR : MME EMMANUELLE CRISCI","CLG JEAN PREVOST","45.176205786881","5.5425537949238",2,43
"Isère","GRENOBLE-MONTAGNE","0382209V","Public","ECOLE ELEMENTAIRE PUBLIQUE"," ","Le village              ",,38650,"AVIGNONET",476341304,,"ce.0382209V@ac-grenoble.fr",,"LE DIRECTEUR : M. HARY GUILLAUME","CLG MARCEL CUYNAT","44.959085233783","5.6571736990603",2,45
"Isère","HAUT-GRESIVAUDAN","0380171E","Public","ECOLE ELEMENTAIRE PUBLIQUE","36 rue du Fort ",,,38530,"BARRAUX",476973823,,"ce.0380171E@ac-grenoble.fr",,"LE DIRECTEUR : MME RAFFAELE CAROLINE","CLG MARCEL CHENE","45.436569947727","5.9809979180763",6,128
"Isère","HAUT-GRESIVAUDAN","0382278V","Public","ECOLE MATERNELLE PUBLIQUE","133 rue de la Cleyat ",,,38530,"BARRAUX",476973822,,"ce.0382278V@ac-grenoble.fr",,"LE DIRECTEUR : MME NORMAND ELISE","CLG MARCEL CHENE","45.436478281278","5.9803786378942",3,61
"Isère","VOIRON 1","0381928P","Public","ECOLE PRIMAIRE PUBLIQUE","115 place de la Mairie ",,,38140,"BEAUCROISSANT",476653655,,"ce.0381928P@ac-grenoble.fr",,"LE DIRECTEUR : MME LE GALL EMMANUELLE ","CLG ROBERT DESNOS","45.341669141048","5.4723768687348",6,136
"﻿Isère","BIEVRE-VALLOIRE","0380178M","Public","ECOLE PRIMAIRE","47 chemin du Village ",,,38270,"BEAUFORT",474594470,,"ce.0380178M@ac-grenoble.fr",,"LE DIRECTEUR : MME RICO SONIA","CLG JACQUES BREL","45.326332041871","5.1205149276315",2,35
"Isère","SAINT MARCELLIN","0380179N","Public","ECOLE PRIMAIRE PUBLIQUE","28 chemin de l'école ",,,38470,"BEAULIEU",476366943,,"ce.0380179N@ac-grenoble.fr",,"LE DIRECTEUR : MME SCHOULER ISABELLE ","CLG JOSEPH CHASSIGNEUX","45.192096804121","5.3909159812332",2,45
"Isère","BIEVRE-VALLOIRE","0381214N","Privé sous-contrat","ECOLE ELEMENTAIRE PRIVEE LUZY DUFEILLANT","28 rue Docteur François ",,,38270,"BEAUREPAIRE",474846161,474847643,"ce.0381214N@ac-grenoble.fr",,"LE DIRECTEUR : MME MARTIN AURELIE","Aucune information","45.339535243847","5.0578843016556",6,127
"Isère","BIEVRE-VALLOIRE","0380182S","Public","ECOLE ELEMENTAIRE PUBLIQUE LA POYAT","40 montée de la Poyat ",,,38270,"BEAUREPAIRE",474846417,,"ce.0380182S@ac-grenoble.fr",,"LE DIRECTEUR : MME MARTIN CHRYSTELLE","CLG JACQUES BREL","45.338877331532","5.0505416252591",6,128
"Isère","BIEVRE-VALLOIRE","0380181R","Public","ECOLE PRIMAIRE PUBLIQUE GAMBETTA","119 rue Gutenberg ",,,38270,"BEAUREPAIRE",474846409,,"ce.0380181R@ac-grenoble.fr",,"LE DIRECTEUR : MME GONNET CHRYSTELE","CLG JACQUES BREL","45.337928980159","5.0565732957931",10,213
"Isère","BOURGOIN JALLIEU 3","0381934W","Public","ECOLE PRIMAIRE PUBLIQUE","242 chemin de la Fontaine ",,,38440,"BEAUVOIR-DE-MARC",474599760,474587888,"ce.0381934W@ac-grenoble.fr",,"LE DIRECTEUR : MME BERLAND CAROLINE","CLG FERNAND BOUVIER","45.518455649166","5.0778447676468",5,108
"Isère","BIEVRE-VALLOIRE","0382077B","Public","ECOLE PRIMAIRE PUBLIQUE","645 rue du bourg ",,,38270,"BELLEGARDE-POUSSIEU",427465168,,"ce.0382077B@ac-grenoble.fr",,"LE DIRECTEUR : M. GARS STEPHANE","CLG JACQUES BREL","45.374850224983","4.9508666874882",4,97
"Isère","LA TOUR DU PIN","0380188Y","Public","ECOLE PRIMAIRE PUBLIQUE","2 bis rue de la Mairie ",,,38690,"BELMONT",474923125,,"ce.0380188Y@ac-grenoble.fr",,"LE DIRECTEUR : MME DESROCHE EMILIE","COLLEGE DE CHAMPIER","45.472637292874","5.3647470591283",3,58
"Isère","GRENOBLE 5","0381917C","Public","ECOLE MATERNELLE PUBLIQUE LES DAUPHINS","459 chemin du Vivier ",,,38190,"BERNIN",476088542,,"ce.0381917C@ac-grenoble.fr",,"LE DIRECTEUR : MME CHEVRIER MARIE","CLG GRESIVAUDAN","45.264410829595","5.8658365906008",4,100
"Isère","GRENOBLE 5","0382468B","Public","ECOLE PRIMAIRE LES DAUPHINS","459 chemin du Vivier CIDEX 45A",,,38190,"BERNIN",476081240,,"ce.0382468B@ac-grenoble.fr",,"LE DIRECTEUR : MME GILLES LAURENCE","CLG GRESIVAUDAN","45.2644841236","5.8657893229183",8,188
"﻿Isère","VOIRON 1","0380193D","Public","ECOLE PRIMAIRE PUBLIQUE","118 rue de la Charrière ",,,38690,"BEVENAIS",476559660,476559660,"ce.0380193D@ac-grenoble.fr",,"LE DIRECTEUR : MME MEYER CHRISTELLE","CLG LIERS ET LEMPS","45.398702860244","5.3872927302489",5,99
"Isère","VOIRON 1","0380194E","Public","ECOLE PRIMAIRE PUBLIQUE","176 rue Roland Chevallier ",,,38850,"BILIEU",476557846,,"ce.0380194E@ac-grenoble.fr",,"LE DIRECTEUR : MME DURAND MELANIE","CLG DES COLLINES","45.441394043404","5.5279149304475",7,162
"Isère","LA TOUR DU PIN","0381258L","Privé sous-contrat","ECOLE ELEMENTAIRE PRIVEE ST DOMINIQUE SAVIO","13 chemin des Gayères ",,,38690,"BIOL",474923402,474923402," ce.0381258l@ac-grenoble.fr ",,"LE DIRECTEUR : MME GOUPIL JUSTINE","Aucune information","45.546946479401","5.4382539752664",5,114
"Isère","LA TOUR DU PIN","0380195F","Public","ECOLE PRIMAIRE PUBLIQUE G.S. BROCARD SAINT EXUPERY","9 rue du 8 Mai 1945 ",,,38690,"BIOL",474923588,474923536,"ce.0380195F@ac-grenoble.fr",,"LE DIRECTEUR : MME CECILLON PASCALE","COLLEGE DE CHAMPIER","45.491854478741","5.3834080084546",6,125
"Isère","GRENOBLE 5","0382614K","Public","ECOLE ELEMENTAIRE PUBLIQUE","208 chemin de la Grivelière ",,,38330,"BIVIERS",476522763,,"ce.0382614K@ac-grenoble.fr",,"LE DIRECTEUR : MME MENEAU NADINE","CLG LIONEL TERRAY","45.238316520162","5.8069544886112",5,123
"Isère","GRENOBLE 5","0382134N","Public","ECOLE MATERNELLE PUBLIQUE","591 chemin du Boeuf ",,,38330,"BIVIERS",476522363,,"ce.0382134N@ac-grenoble.fr",,"LE DIRECTEUR : MME MYTNIK JULIE","CLG LIONEL TERRAY","45.238519044105","5.8075002993578",3,61
"Isère","VOIRON 1","0380200L","Public","ECOLE PRIMAIRE PUBLIQUE","126 chemin des Ecoles ",,,38690,"BIZONNES",474922875,,"ce.0380200L@ac-grenoble.fr",,"LE DIRECTEUR : M. KOZMA HERVE","CLG LIERS ET LEMPS","45.4539836516","5.3782249786158",5,113
"Isère","BOURGOIN JALLIEU 3","0380203P","Public","ECOLE PRIMAIRE PUBLIQUE LE VILLAGE","Route des Etangs ",,,38090,"BONNEFAMILLE",474965331,,"ce.0380203P@ac-grenoble.fr",,"LE DIRECTEUR : MME JACQUIER EMMANUELLE","CLG LES ALLINGES","45.590980690936","5.1306403490828",5,105
"Isère","VIENNE 2","0380209W","Public","ECOLE ELEMENTAIRE PUBLIQUE BOUGE","Rue Fermizet ",,,38150,"BOUGE-CHAMBALUD",474841110,,"ce.0380209W@ac-grenoble.fr",,"LE DIRECTEUR : MME MAGNIAT CELINE","CLG JEAN FERRAT","45.332807634832","4.9009567857649",4,74
"Isère","VIENNE 2","0382886F","Public","ECOLE MATERNELLE PUBLIQUE CHAMBALUD","80 rue de la Maternelle ",,,38150,"BOUGE-CHAMBALUD",474840997,,"ce.0382886F@ac-grenoble.fr",,"LE DIRECTEUR : MME DIJON MARJOLAINE","CLG JEAN FERRAT","45.318763241133","4.8760164102803",2,45
"﻿Isère","BOURGOIN JALLIEU 1","0381286S","Privé sous-contrat","ECOLE ELEMENTAIRE PRIVEE NOTRE DAME","10 rue DE L'HOTEL DE VILLE ",,,38300,"BOURGOIN-JALLIEU",474930894,474930894,"ce.0381286S@ac-grenoble.fr",,"LE DIRECTEUR : M. ALCARAS LUDOVIC","Aucune information","45.592981792898","5.2785199870932",8,214
"Isère","BOURGOIN JALLIEU 1","0381288U","Privé sous-contrat","ECOLE ELEMENTAIRE PRIVEE SAINT JOSEPH","14 rue des Moulins ",,"BP495",38300,"BOURGOIN-JALLIEU",474285109,474435558,"ce.0381288U@ac-grenoble.fr",,"LE DIRECTEUR : MME BORUCKI CAROLE","Aucune information","45.587700513514","5.2795217600789",8,218
"Isère","BOURGOIN JALLIEU 1","0381259M","Privé sous-contrat","ECOLE ELEMENTAIRE PRIVEE SAINT MICHEL","6 rue de la Paix ",,,38300,"BOURGOIN-JALLIEU",474933209,474435470,"ce.0381259M@ac-grenoble.fr",,"LE DIRECTEUR : MME BORUCKI CAROLE","Aucune information","45.585844240903","5.2755451321474",9,221
"Isère","BOURGOIN JALLIEU 1","0382279W","Public","ECOLE ELEMENTAIRE PUBLIQUE E.HERRIOT","13 rue Edouard Herriot ",,,38300,"BOURGOIN-JALLIEU",474936462,,"ce.0382279W@ac-grenoble.fr",,"LE DIRECTEUR : MME JUVANON ISABELLE","CLG SALVADOR ALLENDE","45.587849206159","5.2721760855245",7,153
"Isère","BOURGOIN JALLIEU 1","0382817F","Public","ECOLE ELEMENTAIRE PUBLIQUE L. MICHEL","9 route de l'Isle d'Abeau ",,,38300,"BOURGOIN-JALLIEU",474930146,,"ce.0382817F@ac-grenoble.fr",,"LE DIRECTEUR : M. PONCET CHRISTIAN","CLG SALVADOR ALLENDE","45.6014060703","5.2708839603214",12,197
"Isère","BOURGOIN JALLIEU 1","0382689S","Public","ECOLE ELEMENTAIRE PUBLIQUE LINNE","Place Nelson Mandela ",,,38300,"BOURGOIN-JALLIEU",474284879,,"ce.0382689S@ac-grenoble.fr",,"LE DIRECTEUR : M. DUCLOS RICHARD","CLG SALVADOR ALLENDE","45.607697436584","5.2653532740829",6,94
"Isère","BOURGOIN JALLIEU 1","0380220H","Public","ECOLE MATERNELLE PUBLIQUE L'OISELET","13 rue Ampère ",,,38300,"BOURGOIN-JALLIEU",474930173,,"ce.0380220H@ac-grenoble.fr",,"LE DIRECTEUR : MME CHEVALLET MURIELLE","CLG SALVADOR ALLENDE","45.587132205822","5.2657444476007",4,105
"Isère","BOURGOIN JALLIEU 1","0381519V","Public","ECOLE MATERNELLE PUBLIQUE L. MICHEL","2 place Louise Michel ",,,38300,"BOURGOIN-JALLIEU",474930768,,"ce.0381519V@ac-grenoble.fr",,"LE DIRECTEUR : MME DAVID MARIE-PERNETTE","CLG SALVADOR ALLENDE","45.602650347469","5.2703831022357",6,129
"Isère","BOURGOIN JALLIEU 1","0382591K","Public","ECOLE MATERNELLE PUBLIQUE LINNE","Rue Linné ",,,38300,"BOURGOIN-JALLIEU",474280513,,"ce.0382591K@ac-grenoble.fr",,"LE DIRECTEUR : MME ZWIEBEL FABIENNE","CLG SALVADOR ALLENDE","45.611499482982","5.2702451406648",4,58
"Isère","BOURGOIN JALLIEU 1","0380656G","Public","ECOLE MATERNELLE PUBLIQUE PRE BENIT","Rue des Ecoles ",,,38300,"BOURGOIN-JALLIEU",474934508,,"ce.0380656G@ac-grenoble.fr",,"LE DIRECTEUR : MME ROUSSELIER MARLENE","CLG PRE BENIT","45.592982381586","5.283819446316",3,79
"﻿Isère","BOURGOIN JALLIEU 1","0382557Y","Public","ECOLE PRIMAIRE PRE BENIT","4 rue des Pâquerettes ",,,38300,"BOURGOIN-JALLIEU",474930255,,"ce.0382557Y@ac-grenoble.fr",,"LE DIRECTEUR : M. BARBAROUX GUILLAUME","CLG PRE BENIT","45.593209862171","5.2832642289855",8,193
"Isère","BOURGOIN JALLIEU 1","0382711R","Public","ECOLE PRIMAIRE SIMONE VEIL","1 promenade des Rêveries ",,,38300,"BOURGOIN-JALLIEU",437033270,,"ce.0382711R@ac-grenoble.fr",,"LE DIRECTEUR : M. REGE WILFRIED","CLG SALVADOR ALLENDE","45.591323581851","5.2741020536994",12,268
"Isère","BOURGOIN JALLIEU 1","0380224M","Public","ECOLE PRIMAIRE PUBLIQUE BOUSSIEU","Impasse Maison Blanche ",,,38300,"BOURGOIN-JALLIEU",474933366,,"ce.0380224M@ac-grenoble.fr",,"LE DIRECTEUR : MME CARAMANNA EMMANUELLE","CLG PRE BENIT","45.581180838652","5.2993051781663",5,117
"Isère","BOURGOIN JALLIEU 1","0382694X","Public","ECOLE PRIMAIRE PUBLIQUE CL. CHARY","Boulevard Champarey ",,,38300,"BOURGOIN-JALLIEU",474930246,,"ce.0382694X@ac-grenoble.fr",,"LE DIRECTEUR : MME LE FLOHIC KARINE","CLG PRE BENIT","45.585068381323","5.2884713119347",14,301
"Isère","BOURGOIN JALLIEU 1","0382180N","Public","ECOLE PRIMAIRE PUBLIQUE J. ROSTAND","28 rue Buffon ",,,38300,"BOURGOIN-JALLIEU",474286229,474286229,"ce.0382180N@ac-grenoble.fr",,"LE DIRECTEUR : MME DEPREZ SOIZIC","CLG SALVADOR ALLENDE","45.608623484791","5.2703583289272",17,288
"Isère","BOURGOIN JALLIEU 1","0382070U","Public","ECOLE PRIMAIRE PUBLIQUE LA GRIVE","12 route de Lyon ",,,38300,"BOURGOIN-JALLIEU",474934069,,"ce.0382070U@ac-grenoble.fr",,"LE DIRECTEUR : M. PIERRET ANTHONY","CLG STEPHEN HAWKING","45.599681759265","5.2314674038403",7,166
"Isère","BOURGOIN JALLIEU 1","0382748F","Public","ECOLE PRIMAIRE PUBLIQUE V. HUGO","16 ter rue Victor Hugo ",,,38300,"BOURGOIN-JALLIEU",474930237,,"ce.0382748F@ac-grenoble.fr",,"LE DIRECTEUR : M. FAURE LAURENT","CLG PRE BENIT","45.586129561495","5.280137141546",12,269
"Isère","PONT DE CHERUY","0383037V","Public","ECOLE ELEMENTAIRE PUBLIQUE","Route du Rolland ",,,38390,"BOUVESSE-QUIRIEU",474834295,474834295,"ce.0383037V@ac-grenoble.fr",,"LE DIRECTEUR : MME THOMAS FABIENNE","CLG LES PIERRES PLANTES","45.792854056873","5.4129359198831",5,116
"Isère","PONT DE CHERUY","0382133M","Public","ECOLE MATERNELLE PUBLIQUE","56 chemin des écoles ",,,38390,"BOUVESSE-QUIRIEU",474971531,,"ce.0382133M@ac-grenoble.fr",,"LE DIRECTEUR : MME BAUDE JULIE","CLG LES PIERRES PLANTES","45.795542646763","5.4152815206871",2,58
"Isère","LA TOUR DU PIN","0383580K","Privé hors-contrat","ECOLE PRIMAIRE PRIVEE AURORE BOREALE","4 place Paul Claudel ",,,38510,"BRANGUES",687677099,,"ce.0383580K@ac-grenoble.fr",,"LE DIRECTEUR : MME DEBARNOT AURELIE","CLG FRANCOIS AUGUSTE RAVIER","45.694508489808","5.5284643156595",0,0
"﻿Isère","LA TOUR DU PIN","0380233X","Public","ECOLE PRIMAIRE PUBLIQUE","91 route de Morestel ",,,38510,"BRANGUES","0474802030 ou 0638179101",,"ce.0380233X@ac-grenoble.fr",,"LE DIRECTEUR : M. GIRERD SEBASTIEN","CLG FRANCOIS AUGUSTE RAVIER","45.694627158554","5.5279940546872",3,54
"Isère","GRENOBLE 3","0380234Y","Public","ECOLE PRIMAIRE PUBLIQUE SOUS GEORGES","38 rue de la République ",,,38320,"BRESSON",476252756,,"ce.0380234Y@ac-grenoble.fr",,"LE DIRECTEUR : M. PATTIER DOMINIQUE","CLG LOUIS LUMIERE","45.140797514068","5.7430749309981",3,59
"Isère","BIEVRE-VALLOIRE","0383017Y","Public","ECOLE PRIMAIRE PUBLIQUE DE LA FRATERNITE","3 place Henri Gerbe ",,,38590,"BREZINS",476654766,,"ce.0383017Y@ac-grenoble.fr",,"LE DIRECTEUR : MME BATILLAT LAURENCE","CLG ROSE VALLAND","45.348919514854","5.3061531100801",9,210
"Isère","GRENOBLE 4 / DSDEN38","0380238C","Public","ECOLE PRIMAIRE PUBLIQUE LE BARLATIER","193 chemin du Barlatier ",,,38320,"BRIE-ET-ANGONNES",476736171,,"ce.0380238C@ac-grenoble.fr",,"LE DIRECTEUR : MME MOURRAT SONIA","CLG LE CLOS JOUVIN","45.118541175407","5.7838991308009",12,273
"Isère","BIEVRE-VALLOIRE","0380239D","Public","ECOLE ELEMENTAIRE PUBLIQUE","5 quinquies place du village ",,,38590,"BRION",476655320,,"ce.0380239D@ac-grenoble.fr",,"LE DIRECTEUR : MME BERRIER SERAFIN EMILIE","CLG ROSE VALLAND","45.292795076902","5.3379702186284",1,14
"Isère","VOIRON 1","0380244J","Public","ECOLE PRIMAIRE PUBLIQUE","311 route du Trieves ",,,38690,"BURCIN",476650588,476650928,"ce.0380244J@ac-grenoble.fr",,"LE DIRECTEUR : MME BAILLY MARIE LAURE","CLG LIERS ET LEMPS","45.431456032912","5.4363990097222",2,28
"Isère","LA TOUR DU PIN","0382264E","Public","ECOLE ELEMENTAIRE PUBLIQUE LE BOIS","Route du Bois ",,,38110,"CESSIEU",474334170,,"ce.0382264E@ac-grenoble.fr",,"LE DIRECTEUR : M. MAGNARD JEAN-FRANCOIS","CLG LE CALLOUD","45.57551789557","5.3843239264316",1,20
"Isère","LA TOUR DU PIN","0380247M","Public","ECOLE ELEMENTAIRE PUBLIQUE LE CHATEAU","12 route de Chambéry ",,,38110,"CESSIEU",474334789,,"ce.0380247M@ac-grenoble.fr",,"LE DIRECTEUR : M. BANTOURE JEAN-CHRISTOPHE","CLG LE CALLOUD","45.566823066912","5.376728993291",7,178
"Isère","LA TOUR DU PIN","0380245K","Public","ECOLE MATERNELLE PUBLIQUE DU MOULIN","Rue du Colombier ",,,38110,"CESSIEU",474883576,,"ce.0380245K@ac-grenoble.fr",,"LE DIRECTEUR : MME DIOSSE ANNE-CECILE","CLG LE CALLOUD","45.565934983107","5.3786789192358",5,104
"Isère","VOIRON 1","0381289V","Privé sous-contrat","ECOLE ELEMENTAIRE PRIVEE LE TULIPIER","26 rue du Gymnase ",,,38690,"CHABONS",476650597,476650597,"ce.0381289V@ac-grenoble.fr",,"LE DIRECTEUR : MME SERMET FLORENCE
LE DIRECTEUR ADJOINT : M. GERMON SALOMON","Aucune information","45.445391428487","5.4298174388128",4,79
"﻿Isère","VOIRON 1","0380250R","Public","ECOLE PRIMAIRE PUBLIQUE","88 rue de Grenoble ",,,38690,"CHABONS",476650537,,"ce.0380250R@ac-grenoble.fr",,"LE DIRECTEUR : MME CASPAR JUSTINE","CLG LIERS ET LEMPS","45.442946270419","5.4237468234138",6,139
